frame,time_s,parent_progress,panel_scale,ft_repeated,ft_single,normalized_ft_repeated
1,0.016666666666666666,0.041666666666666664,1.0014727618243244,1.0014727618243244,1.0014727618243244,1.0
2,0.03333333333333333,0.08333333333333333,1.0053819444444445,1.0030731568199818,1.0053819444444445,0.9977035716254696
3,0.05,0.125,1.0109638935810812,1.0048184735913883,1.0109638935810812,0.993921227030251
4,0.06666666666666667,0.16666666666666666,1.017454954954955,1.0067292588780758,1.017454954954955,0.9894583086704276
5,0.08333333333333333,0.20833333333333331,1.0240914742867868,1.0088301195311566,1.0240914742867868,0.985097664477425
6,0.1,0.24999999999999997,1.0301097972972972,1.0111507723374749,1.0301097972972972,0.9815951415960072
7,0.11666666666666667,0.29166666666666663,1.0347462697072072,1.0137274353004555,1.0347462697072072,0.9796869676923801
8,0.13333333333333333,0.3333333333333333,1.0372372372372372,1.0166046963495285,1.0372372372372372,0.9801081756930893
9,0.15,0.375,1.0368190456081081,1.0198380604315365,1.0368190456081081,0.983622035833059
10,0.16666666666666666,0.4166666666666667,1.0327280405405406,1.0234974775974859,1.0327280405405406,0.9910619615419531
11,0.18333333333333332,0.45833333333333337,1.0242005677552553,1.0276723171365856,1.0242005677552553,1.0033897163218133
12,0.2,0.5,1.010472972972973,1.0324785182702625,1.010472972972973,1.021777470437973
13,0.21666666666666667,0.5416666666666666,0.9907816019144143,1.0380690920855402,0.9907816019144144,1.0477274609053657
14,0.23333333333333334,0.5833333333333333,0.9643628003003004,1.0446499104921771,0.9643628003003004,1.0832540514491802
15,0.25,0.6249999999999999,0.9304529138513515,1.0525040514523143,0.9304529138513515,1.131173900134039
16,0.26666666666666666,0.6666666666666665,0.8882882882882885,1.0620303432718796,0.8882882882882885,1.195591968592075
17,0.2833333333333333,0.7083333333333331,0.8371052693318322,1.07380596204812,0.8371052693318322,1.2827609637497797
18,0.3,0.7499999999999998,0.7761402027027031,1.0886899424544212,0.7761402027027031,1.4026975263790564
19,0.31666666666666665,0.7916666666666664,0.704629434121622,1.1079926045438433,0.7046294341216222,1.5724472338074356
20,0.3333333333333333,0.833333333333333,0.6218093093093099,1.133719192576625,0.6218093093093099,1.8232586350885156
21,0.35,0.8749999999999997,0.5269161739864872,1.1686345233571447,0.5269161739864872,2.217875595876308
22,0.36666666666666664,0.9166666666666663,0.4191863738738748,1.213366628299144,0.4191863738738748,2.8945755490235063
23,0.3833333333333333,0.9583333333333329,0.2978562546921935,1.2265066841258576,0.29785625469219346,4.117780522666335
24,0.4,0.9999999999999996,0.1621621621621637,0.1621621621622078,0.16216216216216361,1.000000000000272
25,0.4166666666666667,1.0,0.16216216216216217,0.16216216216216217,0.16216216216216217,1.0
